MESSAGE_CREATE,GUILD_MEMBER_UPDATE,TYPING_START
22531,19720,13084
22549,19743,13105
22572,19766,13120
22579,19793,13128
22590,19832,13137
22596,19854,13145
22617,19882,13159
22625,19917,13170
22640,19951,13181
22664,19977,13199
22694,20002,13220
22713,20044,13235
22726,20065,13250
22763,20094,13278
22810,20126,13297
22843,20158,13322
22872,20182,13343
22899,20207,13357
22930,20231,13372
22943,20250,13385
22960,20279,13397
22977,20309,13411
0,0,0
24,26,14
63,69,37
78,98,49
105,121,56
125,149,67
163,187,79
200,219,89
212,261,100
234,292,113
259,321,128
281,351,146
312,378,158
328,405,162
352,441,171
372,466,183
401,490,198
416,520,206
442,541,214
457,569,223
467,596,233
473,628,239
483,650,244
503,678,256
525,702,269
542,731,286
563,762,296
593,794,312
600,819,319
783,841,334
935,870,342
954,902,351
970,938,358
981,966,368
991,987,377
1006,1014,389
1023,1048,402
1048,1076,421
1101,1106,441
1135,1139,456
1149,1172,469
1165,1200,478
1181,1231,485
1200,1268,502
1213,1293,513
1228,1320,526
1249,1352,550
1276,1385,571
1293,1411,585
1326,1451,611
1351,1476,619
1396,1508,640
1419,1534,655
1451,1571,669
1486,1602,698
1521,1645,716
1559,1692,734
1597,1724,758
1619,1755,771
1662,1785,792
1764,1817,819
1810,1855,843
1849,1897,860
1880,1932,882
1945,1976,904
1991,2016,928
2022,2057,948
2050,2094,969
2078,2123,992
2229,2145,1009
2259,2177,1026
2300,2204,1042
2329,2238,1060
2353,2276,1072
2372,2305,1081
2397,2329,1091
2413,2364,1102
2438,2389,1122
2472,2421,1136
2493,2446,1150
2512,2469,1161
2525,2499,1169
2556,2527,1184
2579,2563,1201
2605,2597,1214
2632,2624,1230
2651,2647,1241
2680,2682,1248
2694,2716,1250
2700,2748,1253
2707,2780,1259
2728,2819,1273
2745,2850,1286
2764,2878,1290
2779,2910,1300
2805,2944,1312
2819,2974,1319
2847,3013,1330
2867,3044,1339
2872,3083,1342
2877,3116,1345
2882,3145,1348
2898,3173,1350
2930,3205,1360
2939,3236,1362
2944,3268,1364
2950,3301,1369
2962,3334,1377
2980,3370,1386
2985,3402,1392
3018,3424,1404
3041,3461,1414
3055,3504,1422
3071,3532,1429
3078,3559,1433
3093,3584,1446
3109,3613,1458
3138,3651,1467
